Model,Params,Class,Precision,Recall,F1-Score
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",2,0.2571428571428571,0.18,0.21176470588235294
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",3,0.2857142857142857,0.2,0.23529411764705882
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",4,1.0,1.0,1.0
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",0,0.375,0.65,0.47560975609756095
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",1,0.7777777777777778,0.23333333333333334,0.358974358974359
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",2,0.38095238095238093,0.32,0.34782608695652173
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",3,0.36,0.225,0.27692307692307694
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",4,1.0,1.0,1.0
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",0,0.4387755102040816,0.7166666666666667,0.5443037974683544
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",1,0.6,0.5,0.5454545454545454
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",2,0.6176470588235294,0.42,0.5
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",3,0.391304347826087,0.225,0.2857142857142857
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",4,1.0,1.0,1.0
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",0,0.42696629213483145,0.6333333333333333,0.5100671140939598
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",1,0.5714285714285714,0.4,0.47058823529411764
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",2,0.5652173913043478,0.52,0.5416666666666666
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",3,0.4166666666666667,0.25,0.3125
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",4,1.0,1.0,1.0
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",0,0.4578313253012048,0.6333333333333333,0.5314685314685315
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",1,0.6956521739130435,0.5333333333333333,0.6037735849056604
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",2,0.47058823529411764,0.48,0.4752475247524752
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",3,0.34782608695652173,0.2,0.25396825396825395
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",4,1.0,1.0,1.0
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",0,0.3902439024390244,0.5333333333333333,0.4507042253521127
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",1,0.7083333333333334,0.5666666666666667,0.6296296296296297
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",2,0.425531914893617,0.4,0.41237113402061853
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",3,0.4444444444444444,0.3,0.3582089552238806
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",4,1.0,1.0,1.0
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",0,0.3888888888888889,0.5833333333333334,0.4666666666666667
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",1,0.7391304347826086,0.5666666666666667,0.6415094339622641
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",2,0.3888888888888889,0.42,0.40384615384615385
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",3,0.38461538461538464,0.125,0.18867924528301888
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",4,1.0,1.0,1.0
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0,0.42452830188679247,0.75,0.5421686746987951
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",1,0.875,0.23333333333333334,0.3684210526315789
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",2,0.5,0.44,0.46808510638297873
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",3,0.36363636363636365,0.2,0.25806451612903225
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",4,1.0,1.0,1.0
